x   y   z   z_sp   dzdx   dzdx_sp   dzdy   dzdy_sp
-5.000000e+00   -5.903904e+00   2.821885e-19   2.821885e-19   2.821885e-18   2.822059e-18   8.465655e-19   8.465655e-19
-5.000000e+00   -5.902903e+00   2.830372e-19   2.830372e-19   2.830372e-18   2.830546e-18   8.491115e-19   8.491115e-19
-5.000000e+00   -5.901902e+00   2.838884e-19   2.838884e-19   2.838884e-18   2.839059e-18   8.516652e-19   8.516652e-19
-5.000000e+00   -5.900901e+00   2.847422e-19   2.847422e-19   2.847422e-18   2.847598e-18   8.542266e-19   8.542266e-19
-5.000000e+00   -5.899900e+00   2.855986e-19   2.855986e-19   2.855986e-18   2.856162e-18   8.567957e-19   8.567957e-19
-5.000000e+00   -5.898899e+00   2.864575e-19   2.864575e-19   2.864575e-18   2.864752e-18   8.593726e-19   8.593726e-19
-5.000000e+00   -5.897898e+00   2.873190e-19   2.873190e-19   2.873190e-18   2.873368e-18   8.619571e-19   8.619571e-19
-5.000000e+00   -5.896897e+00   2.881832e-19   2.881832e-19   2.881832e-18   2.882009e-18   8.645495e-19   8.645495e-19
-5.000000e+00   -5.895896e+00   2.890499e-19   2.890499e-19   2.890499e-18   2.890677e-18   8.671496e-19   8.671496e-19
-5.000000e+00   -5.894895e+00   2.899192e-19   2.899192e-19   2.899192e-18   2.899371e-18   8.697576e-19   8.697576e-19
-5.000000e+00   -5.893894e+00   2.907911e-19   2.907911e-19   2.907911e-18   2.908091e-18   8.723734e-19   8.723734e-19
-5.000000e+00   -5.892893e+00   2.916657e-19   2.916657e-19   2.916657e-18   2.916837e-18   8.749971e-19   8.749971e-19
-5.000000e+00   -5.891892e+00   2.925429e-19   2.925429e-19   2.925429e-18   2.925609e-18   8.776287e-19   8.776287e-19
-5.000000e+00   -5.890891e+00   2.934227e-19   2.934227e-19   2.934227e-18   2.934408e-18   8.802681e-19   8.802681e-19
-5.000000e+00   -5.889890e+00   2.943052e-19   2.943052e-19   2.943052e-18   2.943233e-18   8.829156e-19   8.829156e-19
-5.000000e+00   -5.888889e+00   2.951903e-19   2.951903e-19   2.951903e-18   2.952085e-18   8.855709e-19   8.855709e-19
-5.000000e+00   -5.887888e+00   2.960781e-19   2.960781e-19   2.960781e-18   2.960964e-18   8.882343e-19   8.882343e-19
-5.000000e+00   -5.886887e+00   2.969686e-19   2.969686e-19   2.969686e-18   2.969869e-18   8.909057e-19   8.909057e-19
-5.000000e+00   -5.885886e+00   2.978617e-19   2.978617e-19   2.978617e-18   2.978801e-18   8.935851e-19   8.935851e-19
-5.000000e+00   -5.884885e+00   2.987575e-19   2.987575e-19   2.987575e-18   2.987760e-18   8.962726e-19   8.962726e-19
-5.000000e+00   -5.883884e+00   2.996560e-19   2.996560e-19   2.996560e-18   2.996745e-18   8.989681e-19   8.989681e-19
-5.000000e+00   -5.882883e+00   3.005573e-19   3.005573e-19   3.005573e-18   3.005758e-18   9.016718e-19   9.016718e-19
-5.000000e+00   -5.881882e+00   3.014612e-19   3.014612e-19   3.014612e-18   3.014798e-18   9.043836e-19   9.043836e-19
