x   y   y_sp   dydx   dydx_sp
1.929930e+00   1.217389e+01   1.217389e+01   1.157958e+01   1.157958e+01
1.937938e+00   1.226681e+01   1.226681e+01   1.162763e+01   1.162763e+01
1.945946e+00   1.236012e+01   1.236012e+01   1.167568e+01   1.167568e+01
1.953954e+00   1.245381e+01   1.245381e+01   1.172372e+01   1.172372e+01
1.961962e+00   1.254788e+01   1.254788e+01   1.177177e+01   1.177177e+01
1.969970e+00   1.264235e+01   1.264235e+01   1.181982e+01   1.181982e+01
1.977978e+00   1.273719e+01   1.273719e+01   1.186787e+01   1.186787e+01
1.985986e+00   1.283242e+01   1.283242e+01   1.191592e+01   1.191592e+01
1.993994e+00   1.292804e+01   1.292804e+01   1.196396e+01   1.196396e+01
2.002002e+00   1.302404e+01   1.302404e+01   1.201201e+01   1.201201e+01
2.010010e+00   1.312042e+01   1.312042e+01   1.206006e+01   1.206006e+01
2.018018e+00   1.321719e+01   1.321719e+01   1.210811e+01   1.210811e+01
2.026026e+00   1.331434e+01   1.331434e+01   1.215616e+01   1.215616e+01
2.034034e+00   1.341188e+01   1.341188e+01   1.220420e+01   1.220420e+01
2.042042e+00   1.350981e+01   1.350981e+01   1.225225e+01   1.225225e+01
2.050050e+00   1.360812e+01   1.360812e+01   1.230030e+01   1.230030e+01
2.058058e+00   1.370681e+01   1.370681e+01   1.234835e+01   1.234835e+01
2.066066e+00   1.380589e+01   1.380589e+01   1.239640e+01   1.239640e+01
2.074074e+00   1.390535e+01   1.390535e+01   1.244444e+01   1.244444e+01
2.082082e+00   1.400520e+01   1.400520e+01   1.249249e+01   1.249249e+01
2.090090e+00   1.410543e+01   1.410543e+01   1.254054e+01   1.254054e+01
2.098098e+00   1.420605e+01   1.420605e+01   1.258859e+01   1.258859e+01
2.106106e+00   1.430705e+01   1.430705e+01   1.263664e+01   1.263664e+01
2.114114e+00   1.440844e+01   1.440844e+01   1.268468e+01   1.268468e+01
2.122122e+00   1.451021e+01   1.451021e+01   1.273273e+01   1.273273e+01
2.130130e+00   1.461236e+01   1.461236e+01   1.278078e+01   1.278078e+01
2.138138e+00   1.471490e+01   1.471490e+01   1.282883e+01   1.282883e+01
2.146146e+00   1.481783e+01   1.481783e+01   1.287688e+01   1.287688e+01
2.154154e+00   1.492114e+01   1.492114e+01   1.292492e+01   1.292492e+01
2.162162e+00   1.502484e+01   1.502484e+01   1.297297e+01   1.297297e+01
2.170170e+00   1.512892e+01   1.512892e+01   1.302102e+01   1.302102e+01
2.178178e+00   1.523338e+01   1.523338e+01   1.306907e+01   1.306907e+01
2.186186e+00   1.533823e+01   1.533823e+01   1.311712e+01   1.311712e+01
2.194194e+00   1.544346e+01   1.544346e+01   1.316517e+01   1.316517e+01
2.202202e+00   1.554908e+01   1.554908e+01   1.321321e+01   1.321321e+01
2.210210e+00   1.565509e+01   1.565509e+01   1.326126e+01   1.326126e+01
2.218218e+00   1.576148e+01   1.576148e+01   1.330931e+01   1.330931e+01
2.226226e+00   1.586825e+01   1.586825e+01   1.335736e+01   1.335736e+01
2.234234e+00   1.597541e+01   1.597541e+01   1.340541e+01   1.340541e+01
2.242242e+00   1.608295e+01   1.608295e+01   1.345345e+01   1.345345e+01
2.250250e+00   1.619088e+01   1.619088e+01   1.350150e+01   1.350150e+01
2.258258e+00   1.629919e+01   1.629919e+01   1.354955e+01   1.354955e+01
2.266266e+00   1.640789e+01   1.640789e+01   1.359760e+01   1.359760e+01
2.274274e+00   1.651697e+01   1.651697e+01   1.364565e+01   1.364565e+01
2.282282e+00   1.662644e+01   1.662644e+01   1.369369e+01   1.369369e+01
2.290290e+00   1.673629e+01   1.673629e+01   1.374174e+01   1.374174e+01
2.298298e+00   1.684653e+01   1.684653e+01   1.378979e+01   1.378979e+01
2.306306e+00   1.695715e+01   1.695715e+01   1.383784e+01   1.383784e+01
2.314314e+00   1.706815e+01   1.706815e+01   1.388589e+01   1.388589e+01
2.322322e+00   1.717954e+01   1.717954e+01   1.393393e+01   1.393393e+01
2.330330e+00   1.729132e+01   1.729132e+01   1.398198e+01   1.398198e+01
2.338338e+00   1.740348e+01   1.740348e+01   1.403003e+01   1.403003e+01
2.346346e+00   1.751602e+01   1.751602e+01   1.407808e+01   1.407808e+01
2.354354e+00   1.762895e+01   1.762895e+01   1.412613e+01   1.412613e+01
2.362362e+00   1.774227e+01   1.774227e+01   1.417417e+01   1.417417e+01
2.370370e+00   1.785597e+01   1.785597e+01   1.422222e+01   1.422222e+01
2.378378e+00   1.797005e+01   1.797005e+01   1.427027e+01   1.427027e+01
2.386386e+00   1.808452e+01   1.808452e+01   1.431832e+01   1.431832e+01
2.394394e+00   1.819937e+01   1.819937e+01   1.436637e+01   1.436637e+01
2.402402e+00   1.831461e+01   1.831461e+01   1.441441e+01   1.441441e+01
2.410410e+00   1.843024e+01   1.843024e+01   1.446246e+01   1.446246e+01
2.418418e+00   1.854624e+01   1.854624e+01   1.451051e+01   1.451051e+01
2.426426e+00   1.866264e+01   1.866264e+01   1.455856e+01   1.455856e+01
2.434434e+00   1.877941e+01   1.877941e+01   1.460661e+01   1.460661e+01
2.442442e+00   1.889658e+01   1.889658e+01   1.465465e+01   1.465465e+01
2.450450e+00   1.901412e+01   1.901412e+01   1.470270e+01   1.470270e+01
2.458458e+00   1.913205e+01   1.913205e+01   1.475075e+01   1.475075e+01
2.466466e+00   1.925037e+01   1.925037e+01   1.479880e+01   1.479880e+01
2.474474e+00   1.936907e+01   1.936907e+01   1.484685e+01   1.484685e+01
2.482482e+00   1.948816e+01   1.948816e+01   1.489489e+01   1.489489e+01
2.490490e+00   1.960763e+01   1.960763e+01   1.494294e+01   1.494294e+01
2.498498e+00   1.972748e+01   1.972748e+01   1.499099e+01   1.499099e+01
2.506507e+00   1.984772e+01   1.984772e+01   1.503904e+01   1.503904e+01
2.514515e+00   1.996835e+01   1.996835e+01   1.508709e+01   1.508709e+01
2.522523e+00   2.008936e+01   2.008936e+01   1.513514e+01   1.513514e+01
2.530531e+00   2.021075e+01   2.021075e+01   1.518318e+01   1.518318e+01
2.538539e+00   2.033253e+01   2.033253e+01   1.523123e+01   1.523123e+01
2.546547e+00   2.045470e+01   2.045470e+01   1.527928e+01   1.527928e+01
2.554555e+00   2.057725e+01   2.057725e+01   1.532733e+01   1.532733e+01
2.562563e+00   2.070018e+01   2.070018e+01   1.537538e+01   1.537538e+01
2.570571e+00   2.082350e+01   2.082350e+01   1.542342e+01   1.542342e+01
2.578579e+00   2.094720e+01   2.094720e+01   1.547147e+01   1.547147e+01
2.586587e+00   2.107129e+01   2.107129e+01   1.551952e+01   1.551952e+01
2.594595e+00   2.119576e+01   2.119576e+01   1.556757e+01   1.556757e+01
2.602603e+00   2.132062e+01   2.132062e+01   1.561562e+01   1.561562e+01
2.610611e+00   2.144586e+01   2.144586e+01   1.566366e+01   1.566366e+01
2.618619e+00   2.157149e+01   2.157149e+01   1.571171e+01   1.571171e+01
2.626627e+00   2.169750e+01   2.169750e+01   1.575976e+01   1.575976e+01
2.634635e+00   2.182390e+01   2.182390e+01   1.580781e+01   1.580781e+01
2.642643e+00   2.195068e+01   2.195068e+01   1.585586e+01   1.585586e+01
2.650651e+00   2.207785e+01   2.207785e+01   1.590390e+01   1.590390e+01
2.658659e+00   2.220540e+01   2.220540e+01   1.595195e+01   1.595195e+01
2.666667e+00   2.233333e+01   2.233333e+01   1.600000e+01   1.600000e+01
2.674675e+00   2.246165e+01   2.246165e+01   1.604805e+01   1.604805e+01
2.682683e+00   2.259036e+01   2.259036e+01   1.609610e+01   1.609610e+01
2.690691e+00   2.271945e+01   2.271945e+01   1.614414e+01   1.614414e+01
2.698699e+00   2.284892e+01   2.284892e+01   1.619219e+01   1.619219e+01
2.706707e+00   2.297878e+01   2.297878e+01   1.624024e+01   1.624024e+01
2.714715e+00   2.310903e+01   2.310903e+01   1.628829e+01   1.628829e+01
2.722723e+00   2.323966e+01   2.323966e+01   1.633634e+01   1.633634e+01
2.730731e+00   2.337067e+01   2.337067e+01   1.638438e+01   1.638438e+01
2.738739e+00   2.350207e+01   2.350207e+01   1.643243e+01   1.643243e+01
2.746747e+00   2.363385e+01   2.363385e+01   1.648048e+01   1.648048e+01
2.754755e+00   2.376602e+01   2.376602e+01   1.652853e+01   1.652853e+01
2.762763e+00   2.389857e+01   2.389857e+01   1.657658e+01   1.657658e+01
2.770771e+00   2.403151e+01   2.403151e+01   1.662462e+01   1.662462e+01
